Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2013,"12        ",Male,16,Right-Handed,170,27,171,3,"Rail (Train/Tram/Subway)",30,0.39,39,Basketball,500,450,600,800,1000,1000,27,"Same length",100,100,"Same length",September,Summer,Yes,No,Soups,Milk,"Computers and technology",7,12,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",30,33,5,1,10,15,12,12,24,2,20,0,0,10,Some,"Graduate degree",Techno/Electronic,"Freeze time",Happy,Relative,Other
USA,NY,2024,"12        ",Female,18,Right-Handed,149,21,144,2,"Rail (Train/Tram/Subway)",85,.671,42,Other,20,130,250,475,600,800,21,"Same length",87,91,"Ring finger",January,Fall,Yes,No,"Rice/Noodle dishes",Tea,English,6,9,4,"Yes - broadband connection","Text messaging",200,400,4,1,3,5,2,10,2,5,40,1,0,20,Some,"Graduate degree",Other,"Freeze time",Happy,Teacher,"International aid"
USA,NY,2023,"12        ",Female,17,Right-Handed,,,,3,"Rail (Train/Tram/Subway)",60,,,Other,95,95,95,95,90,90,,,,,,November,Spring,Yes,No,"Rice/Noodle dishes",Water,Languages,5,10,5,"Yes - broadband connection","Text messaging",30,50,21,1,10,4,1,0,21,5,21,10,6,1,"A lot","Graduate degree",Pop,Fly,Famous,"Doctor or nurse",Environment
USA,NY,2022,"12        ",Male,17,Right-Handed,"188 ",13,195,2,Car,10,.27,125,"Football (American)",999,500,1000,1000,200,900,13,"Same length","8.5 ",8.2,"Index finger",November,Fall,Yes,No,Meat,Water,Other,"5 or ",11,4,"Yes - broadband connection","Text messaging",16,500,10,2,7,23,0,24,24,24,24,24,0,15,Some,Other,"Rap/Hip hop",Telepathy,Rich,"Business person",Health
USA,NY,2021,"11        ",Female,16,Right-Handed,166,24,161,1,"Rail (Train/Tram/Subway)",50,0.396,33,Skateboarding/Rollerblading,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2020,"12        ",Female,17,Right-Handed,180,28,182,1,Car,20,.396,50,Athletics,1000,700,700,500,200,300,25,"Right foot",76,77,"Index finger",July,Summer,Yes,No,Pizza/Pasta,Water,"Physical education",7,5,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",20,20,3,10,10,20,50,1,14,5,20,20,12,5,Some,"Undergraduate degree",Pop,Telepathy,Happy,Relative,Health
USA,NY,2013,"8         ",Male,13,Left-Handed,170.2,29,175,3,Bus,15,0.375,37,Basketball,900,900,600,900,450,550,28.5,"Right foot",78,80,"Ring finger",July,Summer,No,No,Seafood,Water,Science,9,10,6,"Yes - broadband connection","Text messaging",25,20,8,0,9,4,8,10,0,3,7,10,0,2,Some,Other,"Rap/Hip hop","Freeze time",Happy,"Religious figure","Wildlife, animals"
USA,NY,2019,"12        ",Female,20,Right-Handed,155,22,160,1,Car,18,.62,36,Baseball/Softball,1000,1000,600,500,500,500,21,"Right foot",74,76,"Ring finger",April,Summer,Yes,No,Meat,Water,"Mathematics and statistics",7,10,4,"Yes - broadband connection","Text messaging",400,400,20,1,6,2,1,1,10,15,15,10,30,2,"A lot","Graduate degree",Country,Telepathy,Happy,Relative,"Wildlife, animals"
USA,NY,2020,"12        ",Female,17,Right-Handed,151,22.5,155.5,3,"Rail (Train/Tram/Subway)",20,0.661,49,Swimming,770,460,118,770,888,1000,23,"Right foot",72,70,"Index finger",December,Spring,No,No,"No favorite",Water,Science,7,10,5,"Yes - broadband connection","Text messaging",40,25,5,3,42,2,1,0,16,1,40,0,0,5,"A lot","Graduate degree",Pop,Fly,Happy,Relative,Health
USA,NY,2014,"6         ",Female,12,Right-Handed,256,4,80,2,Bus,20,0.416,50,Dancing,500,823,1000,1000,1000,1000,4,,4,4,"Index finger",September,Summer,Yes,No,Meat,Other,"Mathematics and statistics",6,4,6,"Yes - other","Text messaging",10067,10096,0,10,3,7,0,0,10,24,24,5,0,0,None,"Graduate degree","Rap/Hip hop",Fly,Rich,Other,Health
USA,NY,2020,"6         ",Female,12,Right-Handed,165,24,140,1,Bus,12,0.509,47,Basketball,400,500,200,200,300,500,24,"Same length",77,70,"Index finger",April,Summer,Yes,No,Desserts,Water,"Physical education",9,11,5,"Yes - broadband connection","In person",50,50,200,1,50,40,10,5,2,2,4,5,0,10,Some,Other,Pop,Fly,Healthy,"Doctor or nurse","International aid"
